id,severity,severity,severity
1612466,1,1,1
12937883,2,2,2
25190210,3,2,3
3280410,1,1,1
22931975,1,1,1
2321259,4,4,4
19188457,2,3,3
21300865,1,1,1
21610501,2,1,1
5079643,2,1,2
16984218,1,2,1
4243250,1,1,2
25621716,1,1,1
16499983,1,1,1
19739597,2,2,2
18546456,3,4,4
2595384,1,1,1
20166635,2,2,2
7901811,1,3,2
19695883,1,3,1
22849748,2,1,1
18345905,2,1,1
3261500,2,2,2
21433956,2,2,2
9177488,1,1,1
22702749,1,2,1
9354587,2,2,2
4544140,1,1,1
27642044,2,1,3
17322638,2,2,2
5330615,1,1,1
29094900,1,1,1
3491143,1,1,1
20253357,3,3,3
10989173,2,2,2
6361009,2,2,2
14135350,1,1,1
26084105,1,1,1
17500974,1,1,1
6493699,2,2,2
22666325,2,2,2
17880137,1,2,2
27610841,4,4,4
17402536,2,2,2
2849651,2,2,2
597235,4,1,2
17410680,2,2,2
3779938,3,2,3
9371522,1,1,3
22756682,1,1,2
15900194,2,2,2
10182292,1,1,1
20718627,1,1,1
630622,4,4,4
2602911,2,2,2
17730182,1,1,1
15077074,3,3,3
14972792,1,1,1
18479582,1,1,1
3181376,5,5,5
3611391,1,1,1
22223734,1,1,1
22702315,1,2,2
12866475,1,1,1
9301421,2,2,2
10515951,1,1,1
10227720,2,1,2
22512785,2,2,2
11870069,3,1,2
1455236,1,1,1
8318401,3,3,3
332270,1,1,2
15139054,1,1,3
18609478,2,2,3
16365541,2,2,3
24749380,1,1,1
6261414,2,3,3
25780791,1,1,1
24373889,2,1,1
20958119,1,1,1
15409557,2,1,1
13232785,2,3,3
14208366,1,2,2
4168278,1,1,1
16027033,2,3,3
22474424,1,1,1
24575837,4,4,4
19434633,2,2,3
2557798,2,2,2
11851945,1,1,1
17296151,1,1,1
158482,1,3,2
25565592,1,1,1
8726434,2,2,2
12166021,1,1,1
27431829,1,1,1
9759518,1,1,1
12982900,1,1,1
5449232,1,1,2
9961990,2,2,2
25144696,1,1,1
16335720,1,1,1
14975940,2,2,3
23656442,4,4,1
15432469,1,1,1
3177949,1,1,1
15831689,4,4,4
23804369,1,1,1
11537280,1,3,1
22739423,2,2,1
25776787,1,1,1
13763709,1,2,2
838381,1,4,4
10135490,1,1,1
2721081,1,2,1
15886565,1,2,1
21100747,2,2,3
10091935,1,1,1
3169979,1,1,1
8954134,4,4,4
14097087,1,1,1
6243272,1,1,2
29126230,1,1,2
4352852,1,1,1
13602592,1,1,2
